Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.931049823760991,4.96174001693726,,,,,,
Japan,,,,,,,,,,,,3.65630006790161,4.01131010055542,4.04297018051147,4.04003000259399,4.66899013519287,4.8508200645446795,4.840270042419429,4.894410133361821,5.05744981765747,5.0687198638916,5.06440019607544,5.04606008529663,4.8242697715759295,,,,5.596519947051999,5.55604982376099,5.3671498298645,,,,3.42903995513916,3.63566994667053,3.46572995185852,,,3.35602998733521,3.43330001831055,3.51617002487183,3.45707011222839,3.4653699398040803,3.52368998527527,3.483069896698,3.3686199188232404,3.3290901184082,3.3309400081634504,3.3191499710082994,,3.63949990272522,3.6425800323486297,3.6922600269317596,3.66538000106812,3.5905900001525897,,3.1861801147460898,3.18217992782593,,,
United Kingdom,,,,,,,,,,,,5.03205013275146,5.15937995910645,5.44860982894897,5.39099979400635,6.26878023147583,6.42422008514404,6.06335020065308,,,5.07011985778809,5.2884202003479,5.1887001991272,5.06150007247925,4.8990597724914595,4.5940899848938,4.380839824676509,4.37180995941162,4.26831007003784,4.1251101493835405,4.05552005767822,4.1224799156189,4.3344898223877,,4.850830078125,4.83926010131836,4.3869299888610795,,4.21201992034912,3.99695992469788,4.03118991851807,4.1192297935485795,4.63886976242065,4.804669857025151,4.7387900352478,4.93913984298706,4.985310077667241,4.91482019424438,4.89331007003784,5.07431983947754,5.70323991775513,5.59523010253906,,5.529799938201901,5.59899997711182,5.55615997314453,5.42670011520386,5.442090034484861,,,
China,,,,,,,,,,,,1.3887399435043302,1.60476005077362,1.65082001686096,1.76115000247955,1.7085000276565598,1.81657004356384,1.7495399713516202,1.9588400125503502,2.14805006980896,1.91190004348755,1.9488099813461297,2.03448009490967,2.0769200325012203,1.99863004684448,2.00814008712769,2.06154990196228,1.8042500019073502,1.76417994499207,,,,1.6545599699020401,1.65785002708435,1.9857100248336799,1.8419200181961102,1.8533899784088101,,1.8443299531936599,1.8880399465560902,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3613600730896,3.57256007194519,4.41539001464844,4.32479000091553,,,3.61340999603271,3.35254001617432,3.18875002861023,3.14284992218018,,,3.27824997901917,3.377690076828,3.7961800098419203,3.8675000667572004,3.84467005729675,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56816005706787,,,4.75665998458862,3.8006200790405296,3.94893002510071,3.84468007087708,3.7503700256347696,,3.9744799137115496,4.47908020019531,4.87060022354126,4.97425985336304,5.26883983612061,5.4635500907897905,5.648799896240231,5.73741006851196,5.85510015487671,5.8388500213623,5.948480129241941,6.24105978012085,6.314040184021,6.32254981994629,,,
Spain,,,,,,,,,,,1.83300995826721,1.889279961586,2.06465005874634,,1.45956003665924,,1.89938998222351,2.07716989517212,2.2307300567627,2.33804988861084,,,,,,,,3.12818002700806,3.32829999923706,3.55177998542786,3.63358998298645,3.7423501014709504,3.8371601104736297,4.2448902130127,4.48468017578125,4.43462991714478,4.45745992660522,,4.28785991668701,4.2604398727417,4.16604995727539,4.1112699508667,4.13457012176514,4.1734299659728995,4.157859802246089,4.1443200111389205,4.184820175170899,4.25404977798462,4.52805995941162,4.91200017929077,4.856080055236821,4.896920204162599,4.4693398475647,4.35101985931396,4.30338001251221,4.28657007217407,4.22764015197754,4.20773983001709,,,
Italy,,,,,,,,,,,3.36681008338928,2.8987700939178502,,,3.83513998985291,3.7116100788116495,3.91951990127563,,3.78035998344421,4.16373014450073,,,,4.488059997558589,4.774569988250731,4.68980979919434,4.65490007400513,,4.59277009963989,,,,,4.73389005661011,4.43331003189087,4.31864976882935,4.44763994216919,,4.45031023025513,4.5108499526977495,4.29107999801636,4.65009021759033,4.43240976333618,4.54179000854492,4.38520002365112,4.23829984664917,4.52545022964478,4.1050300598144505,4.38794994354248,4.523719787597661,4.334119796752931,4.11568021774292,4.05601978302002,4.14367008209229,4.06127977371216,4.07362985610962,3.8157899379730202,4.04493999481201,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40791988372803,4.33663988113403,4.4307599067688,4.49470996856689,,4.46187019348145,,,,,,,,4.2939600944519,4.36679983139038,4.43594980239868,4.90951013565063,4.94367980957031,4.82487010955811,4.95658016204834,4.9611101150512695,4.93962001800537,4.83498001098633,4.8402199745178205,4.9051198959350595,,,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93979001045227,3.1060199737548797,3.8350200653076203,3.67853999137878,3.5478699207305895,3.7719299793243395,3.86626005172729,,4.101749897003169,,,,3.79310011863709,3.7638299465179403,4.01387977600098,3.8340299129486097,3.7604401111602797,4.6899099349975595,,,
