UniversityName,UniversityRank,Country,Total_Num_of_Students,StudentStaffRatio,Num_of_Intl_students,FemaletoMaleRatio,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,subjects_offered,maletofemaleratio,Latitude,Longitude
University of Oxford,1,United Kingdom,20774,11.1,8517,46 : 54,95.6,10,91.3,5,99.6,1,98.0,37,68.7,189,96.4,24,"Geography,Medicine & Dentistry,Business & Management,Psychology,Other Health,Mechanical & Aerospace Engineering,Sociology,Computer Science,Chemistry,Accounting & Finance,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Mathematics & Statistics,Civil Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Chemical Engineering,Law,Biological Sciences,Art, Performing Arts & Design,Education,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics",1.173913043478261,51.75870755,-1.2556684826092037
Stanford University,2,United States,16223,7.4,3731,44 : 56,94.9,20,92.2,3,96.7,6,99.9,14,90.1,75,79.5,200,"Sport Science,Medicine & Dentistry,Business & Management,Chemistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Veterinary Science,Archaeology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Architecture,Communication & Media Studies,Sociology,Psychology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Education,Other Health,Civil Engineering,Economics & Econometrics,General Engineering,Art, Performing Arts & Design,Chemical Engineering,Law,Mathematics & Statistics,Computer Science,Accounting & Finance",1.2727272727272727,37.431313849999995,-122.16936535498309
Harvard University,3,United States,21261,9.3,5315,49 : 51,94.8,30,94.4,1,98.8,3,99.4,22,46.8,421,77.7,218,"Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Accounting & Finance,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education",1.0408163265306123,42.36790855,-71.12678237443698
California Institute of Technology,4,United States,2238,6.3,738,36 : 64,94.5,40,92.5,2,96.9,5,97.0,49,92.7,67,83.6,158,"General Engineering,Chemical Engineering,Civil Engineering,Business & Management,Economics & Econometrics,History, Philosophy & Theology,Biological Sciences,Computer Science,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemistry,Mathematics & Statistics,Politics & International Studies (incl Development Studies)",1.7777777777777777,34.13701375,-118.1252882487961
Massachusetts Institute of Technology,5,United States,11276,8.4,3833,39 : 61,94.4,50,90.7,6,94.4,8,99.7,17,90.4,73,90.0,96,"Mathematics & Statistics,Chemical Engineering,Other Health,General Engineering,Accounting & Finance,Archaeology,Chemistry,Languages, Literature & Linguistics,Veterinary Science,Sociology,Electrical & Electronic Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Business & Management,History, Philosophy & Theology,Biological Sciences,Psychology,Architecture,Civil Engineering,Physics & Astronomy,Economics & Econometrics,Computer Science,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies",1.5641025641025639,42.3582393,-71.09664602558988
University of Cambridge,6,United Kingdom,19370,11.0,7360,47 : 53,94.0,60,90.3,7,99.2,2,95.6,70,52.1,343,95.7,31,"Education,Veterinary Science,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Psychology,Chemical Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics,Geography,Archaeology,Economics & Econometrics,Chemistry,General Engineering,Business & Management,Computer Science,Sociology,Architecture,Law,Medicine & Dentistry",1.127659574468085,52.1998523,0.11973865741074383
"University of California, Berkeley",7,United States,39918,19.8,6786,51 : 49,92.2,70,85.8,13,97.2,4,99.1,25,84.3,104,72.3,275,"Languages, Literature & Linguistics,Agriculture & Forestry,Education,Civil Engineering,Art, Performing Arts & Design,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Archaeology,Mathematics & Statistics,Law,Computer Science,Chemistry,Geography,History, Philosophy & Theology,Chemical Engineering,Sociology,Architecture,Physics & Astronomy,General Engineering,Business & Management,Biological Sciences,Other Health,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Communication & Media Studies",0.9607843137254902,37.8753497,-122.23963364918777
Yale University,8,United States,12910,6.0,2582,50 : 50,91.6,80,91.9,4,93.8,9,97.9,38,56.1,299,68.4,315,"Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Agriculture & Forestry,Languages, Literature & Linguistics,Chemical Engineering,Electrical & Electronic Engineering,Communication & Media Studies,Education,Law,General Engineering,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Sociology,Physics & Astronomy,Other Health,Psychology,Accounting & Finance,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Medicine & Dentistry,Archaeology,Biological Sciences,Business & Management,Computer Science",1.0,41.25713055,-72.98966960152231
Princeton University,9,United States,8091,8.0,1860,46 : 54,91.5,90,88.8,10,92.5,10,98.9,28,58.0,274,80.2,192,"Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Sociology,Electrical & Electronic Engineering,Psychology,General Engineering,Economics & Econometrics,Architecture,Chemical Engineering,Other Health,Chemistry,Civil Engineering,History, Philosophy & Theology,Archaeology,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Physics & Astronomy,Computer Science,Mathematics & Statistics",1.173913043478261,40.33867515,-74.65836549131683
The University of Chicago,10,United States,14292,5.9,4430,46 : 54,90.3,100,88.9,9,90.5,17,98.6,32,54.9,311,74.0,255,"Accounting & Finance,Business & Management,Biological Sciences,Physics & Astronomy,Archaeology,Geology, Environmental, Earth & Marine Sciences,Sociology,Mathematics & Statistics,Psychology,Medicine & Dentistry,Chemical Engineering,Art, Performing Arts & Design,Languages, Literature & Linguistics,Chemistry,Geography,History, Philosophy & Theology,Computer Science,Law,Politics & International Studies (incl Development Studies),Economics & Econometrics",1.173913043478261,41.784977,-87.5905237123017
